Insert an em dash (—).,Ctrl+Alt+Minus sign (on the numeric keypad)
Insert an en dash (–).,Ctrl+Minus sign (on the numeric keypad)
Insert an optional hyphen.,Ctrl+Hyphen (-)
Insert a nonbreaking hyphen.,Ctrl+Shift+Hyphen (-)
Insert a copyright symbol (©).,Ctrl+Alt+C
Insert a registered trademark symbol (®).,Ctrl+Alt+R
Insert a trademark symbol (™).,Ctrl+Alt+T
Insert an ellipsis (…),Ctrl+Alt+Period (.)
"Insert the ANSI character for the specified ANSI (decimal) character code. For example, to insert the euro currency symbol, hold down Alt and press 0128 on the numeric keypad.",Alt+the character code (on the numeric keypad)
